id_restaurant,place_name,address,latitude,longitude,cluster
132,Warung Kare Rajungan Cak Pur,"RT.02/RW.01, Bogem, Kebonagung, Sukodono, Sidoarjo Regency, East Java 61258, Indonesia",-7.414867,112.673373,0
133,OEMAH BLARAK (kare rajungane Make),"Kepoh, Panyuran, Palang, Tuban Regency, East Java 62391, Indonesia",-6.89465,112.090687,4
134,Central Sate Bandeng Ibu Mamah,"Sukamanah, Baros, Serang Regency, Banten 42173, Indonesia",-6.221386,106.131173,5
135,Warung Makan Sate Bandeng Kang Agus Khans Banten,"Jl. Jend. Sudirman No.39, Sumurpecung, Kec. Serang, Kota Serang, Banten 42118, Indonesia",-6.12039,106.177155,5
136,Sate Bandeng Bunda,"Jl. Raya Karang Bolong No.123, Cikoneng, Kec. Anyar, Kabupaten Serang, Banten 42166, Indonesia",-6.06972,105.88881,5
137,"Sate Bandeng ""Ratu Toety""","Jl. Jayadiningrat No.22, RT.002/RW.06, Lontarbaru, Kec. Serang, Kota Serang, Banten 42115, Indonesia",-6.117864,106.147867,5
138,"Rabeg khas Banten, sop sapi","W5R5+J77, Jl. Raya Banten, Kasunyatan, Kec. Kasemen, Kota Serang, Banten 42191, Indonesia",-6.058459,106.158171,5
139,Rumah Makan Rabeg Kambing NONG Ni,"X2HJ+8WM, Jl. Kubang Lesung, Taman Baru, Kec. Citangkil, Kota Cilegon, Banten 42441, Indonesia",-6.021664,106.032311,5
140,Warung Rabeg,"V6FM+HH6, Citerep, Ciruas, Serang Regency, Banten 42182, Indonesia",-6.12604,106.233904,5
141,Rabeg Mang Ubay,"X576+8R3, Jl. Ps. Karangantu, Banten, Kec. Kasemen, Kota Serang, Banten 42191, Indonesia",-6.036731,106.162042,5
142,Warung Rabeg H. Markan cabang ke 2,"Jl. Raya Petir - Serang depan RSS Pemda, Cilaku, Kec. Curug, Kota Serang, Banten 42121, Indonesia",-6.15217,106.178273,5
143,Rabeg Taktakan Dede Fadel,"Jl. Mayor Muslich, Serang, Kec. Serang, Kota Serang, Banten, Indonesia",-6.120833,106.140088,5
144,Kedai Rabeg Khas Serang,"Panancangan, Cipocok Jaya, Serang City, Banten, Indonesia",-6.12036,106.184226,5
145,Rabeg Gledek Hj Yayah,"Perum Bayan Agung Indah, Banjaragung, Kec. Cipocok Jaya, Kota Serang, Banten 42122, Indonesia",-6.124407,106.202425,5
